"annee_consommation","meta_categorie_activite","categorie_activite","sous_categorie_activite","nombre_declaration","surface_declaree","consommation_declaree"
"0 - année de référence","Accueil petite enfance","Accueil petite enfance","Accueil petite enfance - Administration et bureaux (Bureaux Standards)",46,73071,8796405
"0 - année de référence","Accueil petite enfance","Accueil petite enfance","Accueil petite enfance - Crèche",884,817096,142727828
"0 - année de référence","Accueil petite enfance","Accueil petite enfance","Accueil petite enfance - Halte garderie",230,189877,27609531
"0 - année de référence","Accueil petite enfance","Accueil petite enfance","Accueil petite enfance - Valeur par défaut",448,549408,79468671
"0 - année de référence","Audiovisuel","Audiovisuel - Radio","Radio (Valeur par défaut)",34,8278,2062373
"0 - année de référence","Audiovisuel","Audiovisuel - Radio","Radio - Administration et rédaction",29,30561,7339859
"0 - année de référence","Audiovisuel","Audiovisuel - Télévision et production cinéma","Télévision et production cinéma - Administration et rédaction",14,99135,46950873
"0 - année de référence","Audiovisuel","Audiovisuel - Télévision et production cinéma","Télévision et production cinéma - Studio d'enregistrement et de diffusion d'émissions télévisées",30,96971,14186813
"0 - année de référence","Audiovisuel","Audiovisuel - Télévision et production cinéma","Télévision et production cinéma - Valeur par défaut",38,137483,42546674
"0 - année de référence","Blanchisserie","Blanchisserie dite """"industrielle""""","Blanchisserie industrielle - Lavage, Séchage et Finition",41,65265,80875079
"0 - année de référence","Blanchisserie","Blanchisserie dite """"industrielle""""","Blanchisserie industrielle - Stockage & Chargement",7,41980,27154738
"0 - année de référence","Blanchisserie","Blanchisserie dite """"industrielle""""","Blanchisserie industrielle - Valeur par défaut",162,658605,893490951
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Accueil petite enfance - Crèche",3,2590,343063
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Banque - Distributeur automatique de billets indépendant",4,334,43497
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Banque - Zone guichets accueil personnalisé",175,97770,16848618
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Bibliothèque, médiathèque et service d'archives - ERP - Salle de lecture, d'exposition, de conférences, hall d'accueil",4,4486,598223
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Bureaux (Valeur par défaut)",7790,15263788,2435623561
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Bureaux - Autres activités de services",935,2040020,351564717
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Bureaux - Bureaux standards",17793,42987919,7828764564
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Bureaux - Centre Documentaire",34,83599,13030915
"0 - année de référence","Bureaux","Bureaux - Services Publics - Banque","Bureaux - Espace Co-Working",103,258104,42174238
